,M
0,0
1,1168
2,2329
3,3479
4,4611
5,5720
6,6800
7,7845
8,8851
9,9811
10,10722
11,11579
12,12376
13,13111
14,13779
15,14378
16,14904
17,15353
18,15726
19,16018
20,16229
21,16358
22,16404
23,16366
24,16246
25,16043
26,15759
27,15394
28,14952
29,14434
30,13843
31,13181
32,12452
33,11661
34,10810
35,9905
36,8949
37,7948
38,6906
39,5830
40,4723
41,3593
42,2445
43,1284
44,117
45,-1051
46,-2213
47,-3365
48,-4499
49,-5610
50,-6693
51,-7742
52,-8752
53,-9717
54,-10633
55,-11495
56,-12299
57,-13040
58,-13716
59,-14321
60,-14854
61,-15312
62,-15692
63,-15992
64,-16211
65,-16348
66,-16402
67,-16373
68,-16261
69,-16066
70,-15790
71,-15434
72,-14999
73,-14489
74,-13905
75,-13250
76,-12528
77,-11742
78,-10898
79,-9997
80,-9046
81,-8049
82,-7012
83,-5938
84,-4835
85,-3707
86,-2560
87,-1401
88,-233
89,934
90,2098
91,3251
92,4386
93,5500
94,6586
95,7639
96,8653
97,9623
98,10544
99,11412
100,12222
101,12969
102,13651
103,14264
104,14805
105,15270
106,15658
107,15966
108,16193
109,16339
110,16401
111,16380
112,16276
113,16090
114,15822
115,15474
116,15046
117,14543
118,13966
119,13319
120,12603
121,11824
122,10985
123,10090
124,9144
125,8151
126,7117
127,6047
128,4947
129,3821
130,2676
131,1517
132,351
133,-818
134,-1982
135,-3136
136,-4274
137,-5390
138,-6479
139,-7535
140,-8553
141,-9528
142,-10454
143,-11327
144,-12143
145,-12897
146,-13586
147,-14206
148,-14754
149,-15227
150,-15622
151,-15938
152,-16174
153,-16328
154,-16398
155,-16386
156,-16290
157,-16112
158,-15852
159,-15511
160,-15093
161,-14597
162,-14027
163,-13387
164,-12678
165,-11905
166,-11071
167,-10181
168,-9240
169,-8252
170,-7222
171,-6155
172,-5058
173,-3934
174,-2791
175,-1633
176,-467
177,701
178,1866
179,3021
180,4161
181,5280
182,6372
183,7431
184,8453
185,9433
186,10364
187,11243
188,12065
189,12825
190,13520
191,14147
192,14702
193,15183
194,15586
195,15911
196,16155
197,16316
198,16395
199,16391
200,16304
201,16134
202,15882
203,15550
204,15138
205,14650
206,14088
207,13454
208,12752
209,11985
210,11157
211,10273
212,9337
213,8353
214,7327
215,6264
216,5169
217,4048
218,2906
219,1750
220,584
221,-584
222,-1749
223,-2906
224,-4048
225,-5169
226,-6264
227,-7327
228,-8353
229,-9337
230,-10273
231,-11157
232,-11985
233,-12752
234,-13454
235,-14087
236,-14650
237,-15138
238,-15549
239,-15881
240,-16133
241,-16304
242,-16391
243,-16395
244,-16316
245,-16154
246,-15910
247,-15586
248,-15183
249,-14702
250,-14147
251,-13520
252,-12825
253,-12064
254,-11243
255,-10364
256,-9432
257,-8453
258,-7431
259,-6371
260,-5279
261,-4161
262,-3021
263,-1865
264,-701
265,467
266,1633
267,2791
268,3935
269,5058
270,6156
271,7222
272,8252
273,9240
274,10182
275,11071
276,11905
277,12678
278,13387
279,14027
280,14597
281,15093
282,15512
283,15852
284,16112
285,16290
286,16386
287,16399
288,16328
289,16174
290,15939
291,15622
292,15227
293,14754
294,14206
295,13586
296,12898
297,12143
298,11327
299,10454
300,9528
301,8553
302,7536
303,6479
304,5390
305,4274
306,3136
307,1982
308,818
309,-350
310,-1517
311,-2675
312,-3821
313,-4946
314,-6047
315,-7117
316,-8151
317,-9144
318,-10090
319,-10985
320,-11824
321,-12603
322,-13319
323,-13966
324,-14543
325,-15046
326,-15473
327,-15821
328,-16090
329,-16276
330,-16380
331,-16401
332,-16338
333,-16193
334,-15966
335,-15657
336,-15269
337,-14804
338,-14264
339,-13651
340,-12969
341,-12221
342,-11412
343,-10544
344,-9623
345,-8653
346,-7639
347,-6586
348,-5500
349,-4386
350,-3250
351,-2098
352,-934
353,234
354,1401
355,2560
356,3707
357,4835
358,5939
359,7012
360,8050
361,9047
362,9997
363,10898
364,11743
365,12528
366,13250
367,13905
368,14489
369,15000
370,15434
371,15791
372,16067
373,16262
374,16373
375,16403
376,16348
377,16212
378,15992
379,15692
380,15312
381,14855
382,14321
383,13716
384,13041
385,12299
386,11496
387,10633
388,9717
389,8752
390,7742
391,6693
392,5611
393,4499
394,3365
395,2213
396,1051
397,-117
398,-1284
399,-2445
400,-3593
401,-4723
402,-5829
403,-6906
404,-7947
405,-8948
406,-9905
407,-10810
408,-11661
409,-12452
410,-13181
411,-13842
412,-14434
413,-14952
414,-15394
415,-15758
416,-16043
417,-16245
418,-16366
419,-16403
420,-16358
421,-16229
422,-16018
423,-15726
424,-15353
425,-14903
426,-14378
427,-13779
428,-13111
429,-12376
430,-11578
431,-10722
432,-9811
433,-8850
434,-7845
435,-6800
436,-5720
437,-4611
438,-3479
439,-2329
440,-1167
441,0
442,1168
443,2329
444,3479
445,4611
446,5720
447,6800
448,7845
449,8851
450,9811
451,10722
452,11578
453,12376
454,13111
455,13780
456,14378
457,14903
458,15353
459,15726
460,16018
461,16229
462,16358
463,16403
464,16366
465,16246
466,16043
467,15758
468,15394
469,14952
470,14434
471,13842
472,13181
473,12453
474,11661
475,10810
476,9905
477,8949
478,7948
479,6906
480,5829
481,4723
482,3593
483,2445
484,1284
485,117
486,-1051
487,-2213
488,-3365
489,-4499
490,-5610
491,-6693
492,-7742
493,-8752
494,-9717
495,-10633
496,-11495
497,-12299
498,-13040
499,-13715
500,-14321
501,-14854
502,-15312
503,-15692
504,-15992
505,-16211
506,-16348
507,-16402
508,-16373
509,-16261
510,-16066
511,-15790
512,-15434
513,-15000
514,-14489
515,-13905
516,-13250
517,-12528
518,-11742
519,-10898
520,-9997
521,-9046
522,-8049
523,-7012
524,-5938
525,-4835
526,-3707
527,-2560
528,-1401
529,-234
530,934
531,2098
532,3250
533,4387
534,5500
535,6586
536,7639
537,8653
538,9623
539,10544
540,11412
541,12221
542,12969
543,13651
544,14264
545,14805
546,15270
547,15658
548,15966
549,16193
550,16339
551,16401
552,16380
553,16276
554,16090
555,15822
556,15474
557,15046
558,14544
559,13967
560,13319
561,12603
562,11824
563,10985
564,10090
565,9144
566,8151
567,7117
568,6047
569,4947
570,3821
571,2676
572,1517
573,351
574,-818
575,-1981
576,-3135
577,-4274
578,-5390
579,-6479
580,-7535
581,-8553
582,-9528
583,-10454
584,-11327
585,-12143
586,-12897
587,-13586
588,-14206
589,-14753
590,-15227
591,-15622
592,-15939
593,-16174
594,-16328
595,-16398
596,-16386
597,-16290
598,-16112
599,-15852
600,-15511
601,-15093
602,-14597
603,-14027
604,-13387
605,-12678
606,-11905
607,-11071
608,-10181
609,-9240
610,-8252
611,-7222
612,-6156
613,-5058
614,-3934
615,-2791
616,-1633
617,-467
618,701
619,1866
620,3021
621,4161
622,5280
623,6372
624,7432
625,8454
626,9433
627,10364
628,11243
629,12065
630,12825
631,13520
632,14147
633,14702
634,15183
635,15586
636,15911
637,16155
638,16316
639,16395
640,16391
641,16304
642,16134
643,15882
644,15550
645,15138
646,14650
647,14088
648,13454
649,12752
650,11985
651,11157
652,10273
653,9337
654,8353
655,7327
656,6264
657,5169
658,4048
659,2906
660,1749
661,584
662,-584
663,-1749
664,-2906
665,-4047
666,-5169
667,-6264
668,-7327
669,-8353
670,-9336
671,-10273
672,-11157
673,-11985
674,-12752
675,-13453
676,-14087
677,-14650
678,-15138
679,-15549
680,-15882
681,-16134
682,-16304
683,-16391
684,-16395
685,-16316
686,-16154
687,-15911
688,-15586
689,-15183
690,-14702
691,-14147
692,-13520
693,-12825
694,-12064
695,-11242
696,-10364
697,-9433
698,-8453
699,-7431
700,-6372
701,-5280
702,-4161
703,-3021
704,-1866
705,-701
706,468
707,1633
708,2791
709,3934
710,5058
711,6156
712,7223
713,8253
714,9241
715,10182
716,11072
717,11905
718,12678
719,13387
720,14027
721,14597
722,15093
723,15512
724,15852
725,16112
726,16291
727,16386
728,16399
729,16328
730,16174
731,15939
732,15622
733,15227
734,14754
735,14206
736,13586
737,12898
738,12143
739,11328
740,10454
741,9528
742,8554
743,7535
744,6479
745,5390
746,4274
747,3136
748,1982
749,818
750,-350
751,-1517
752,-2675
753,-3821
754,-4946
755,-6047
756,-7117
757,-8151
758,-9144
759,-10090
760,-10985
761,-11824
762,-12603
763,-13318
764,-13966
765,-14543
766,-15046
767,-15473
768,-15821
769,-16089
770,-16276
771,-16380
772,-16401
773,-16339
774,-16193
775,-15966
776,-15657
777,-15269
778,-14804
779,-14264
780,-13651
781,-12969
782,-12221
783,-11411
784,-10544
785,-9623
786,-8653
787,-7639
788,-6586
789,-5500
790,-4386
791,-3250
792,-2098
793,-934
794,234
795,1401
796,2561
797,3707
798,4835
799,5938
800,7012
801,8050
802,9047
803,9998
804,10898
805,11743
806,12528
807,13250
808,13905
809,14489
810,15000
811,15434
812,15790
813,16067
814,16261
815,16373
816,16403
817,16349
818,16212
819,15992
820,15692
821,15312
822,14855
823,14321
824,13716
825,13040
826,12299
827,11495
828,10633
829,9717
830,8752
831,7742
832,6694
833,5610
834,4499
835,3365
836,2214
837,1051
838,-117
839,-1284
840,-2445
841,-3593
842,-4723
843,-5829
844,-6906
845,-7947
846,-8949
847,-9904
848,-10810
849,-11661
850,-12452
851,-13181
852,-13842
853,-14434
854,-14952
855,-15394
856,-15758
857,-16042
858,-16245
859,-16366
860,-16403
861,-16357
862,-16229
863,-16018
864,-15725
865,-15353
866,-14903
867,-14378
868,-13779
869,-13111
870,-12376
871,-11578
872,-10722
873,-9811
874,-8851
875,-7845
876,-6800
877,-5720
878,-4611
879,-3479
880,-2329
881,-1167
882,0
883,1168
884,2329
885,3479
886,4611
887,5720
888,6800
889,7845
890,8851
891,9811
892,10722
893,11578
894,12376
895,13111
896,13779
897,14378
898,14903
899,15353
900,15726
901,16018
902,16229
903,16358
904,16403
905,16366
906,16246
907,16043
908,15758
909,15394
910,14952
911,14434
912,13843
913,13181
914,12452
915,11661
916,10810
917,9905
918,8949
919,7947
920,6906
921,5830
922,4723
923,3593
924,2445
925,1284
926,117
927,-1051
928,-2213
929,-3365
930,-4499
931,-5610
932,-6693
933,-7742
934,-8752
935,-9717
936,-10633
937,-11495
938,-12299
939,-13040
940,-13715
941,-14321
942,-14854
943,-15312
944,-15692
945,-15992
946,-16211
947,-16348
948,-16402
949,-16373
950,-16261
951,-16066
952,-15790
953,-15434
954,-14999
955,-14489
956,-13905
957,-13250
958,-12528
959,-11743
960,-10898
961,-9997
962,-9046
963,-8049
964,-7012
965,-5938
966,-4835
967,-3707
968,-2560
969,-1401
970,-234
971,934
972,2098
973,3251
974,4387
975,5500
976,6586
977,7639
978,8653
979,9623
980,10544
981,11412
982,12222
983,12969
984,13651
985,14264
986,14804
987,15270
988,15657
989,15966
990,16193
991,16339
992,16401
993,16380
994,16276
995,16090
996,15822
997,15473
998,15047
999,14543
1000,13966
1001,13319
1002,12603
1003,11824
1004,10985
1005,10090
1006,9144
1007,8151
1008,7117
1009,6047
1010,4947
1011,3821
