,M=100Hz,M=200Hz,M=500Hz
0,0,0,0
1,234,467,1168
2,467,935,2329
3,701,1401,3479
4,935,1866,4611
5,1168,2329,5720
6,1401,2791,6800
7,1634,3250,7845
8,1866,3707,8851
9,2098,4161,9811
10,2329,4611,10722
11,2561,5058,11579
12,2791,5500,12376
13,3021,5939,13111
14,3250,6372,13779
15,3479,6800,14378
16,3707,7222,14904
17,3934,7639,15353
18,4161,8050,15726
19,4386,8454,16018
20,4611,8851,16229
21,4835,9241,16358
22,5058,9623,16404
23,5280,9997,16366
24,5501,10364,16246
25,5720,10722,16043
26,5938,11072,15759
27,6156,11412,15394
28,6372,11743,14952
29,6586,12064,14434
30,6800,12376,13843
31,7012,12678,13181
32,7222,12969,12452
33,7431,13250,11661
34,7639,13520,10810
35,7845,13780,9905
36,8049,14028,8949
37,8252,14264,7948
38,8453,14489,6906
39,8653,14702,5830
40,8851,14903,4723
41,9047,15093,3593
42,9240,15270,2445
43,9433,15434,1284
44,9623,15586,117
45,9811,15726,-1051
46,9998,15852,-2213
47,10182,15966,-3365
48,10364,16067,-4499
49,10544,16154,-5610
50,10722,16229,-6693
51,10898,16291,-7742
52,11072,16339,-8752
53,11243,16374,-9717
54,11412,16395,-10633
55,11578,16404,-11495
56,11743,16399,-12299
57,11905,16380,-13040
58,12065,16349,-13716
59,12222,16304,-14321
60,12376,16246,-14854
61,12528,16174,-15312
62,12678,16090,-15692
63,12825,15992,-15992
64,12969,15882,-16211
65,13111,15759,-16348
66,13250,15622,-16402
67,13387,15474,-16373
68,13520,15312,-16261
69,13651,15138,-16066
70,13779,14952,-15790
71,13905,14754,-15434
72,14028,14543,-14999
73,14147,14321,-14489
74,14264,14088,-13905
75,14378,13843,-13250
76,14489,13586,-12528
77,14597,13319,-11742
78,14702,13041,-10898
79,14804,12752,-9997
80,14904,12452,-9046
81,15000,12143,-8049
82,15093,11824,-7012
83,15183,11496,-5938
84,15270,11157,-4835
85,15353,10810,-3707
86,15434,10454,-2560
87,15512,10090,-1401
88,15586,9717,-233
89,15657,9337,934
90,15726,8949,2098
91,15791,8553,3251
92,15852,8151,4386
93,15911,7742,5500
94,15966,7327,6586
95,16018,6906,7639
96,16067,6479,8653
97,16112,6047,9623
98,16154,5610,10544
99,16193,5169,11412
100,16229,4723,12222
101,16261,4274,12969
102,16290,3821,13651
103,16316,3365,14264
104,16339,2906,14805
105,16358,2445,15270
106,16374,1982,15658
107,16386,1517,15966
108,16395,1051,16193
109,16401,584,16339
110,16404,117,16401
111,16403,-350,16380
112,16398,-818,16276
113,16391,-1284,16090
114,16380,-1749,15822
115,16366,-2213,15474
116,16349,-2675,15046
117,16328,-3135,14543
118,16304,-3593,13966
119,16276,-4048,13319
120,16246,-4499,12603
121,16212,-4946,11824
122,16174,-5390,10985
123,16134,-5829,10090
124,16090,-6264,9144
125,16043,-6693,8151
126,15992,-7117,7117
127,15939,-7535,6047
128,15882,-7947,4947
129,15822,-8353,3821
130,15759,-8752,2676
131,15692,-9144,1517
132,15622,-9528,351
133,15550,-9904,-818
134,15474,-10273,-1982
135,15394,-10633,-3136
136,15312,-10985,-4274
137,15227,-11327,-5390
138,15138,-11661,-6479
139,15046,-11985,-7535
140,14952,-12299,-8553
141,14854,-12603,-9528
142,14754,-12897,-10454
143,14650,-13181,-11327
144,14543,-13453,-12143
145,14434,-13715,-12897
146,14322,-13966,-13586
147,14206,-14206,-14206
148,14088,-14434,-14754
149,13966,-14650,-15227
150,13842,-14854,-15622
151,13716,-15046,-15938
152,13586,-15226,-16174
153,13454,-15394,-16328
154,13319,-15549,-16398
155,13181,-15692,-16386
156,13041,-15822,-16290
157,12897,-15938,-16112
158,12752,-16042,-15852
159,12604,-16133,-15511
160,12453,-16211,-15093
161,12299,-16276,-14597
162,12143,-16328,-14027
163,11985,-16366,-13387
164,11824,-16391,-12678
165,11661,-16402,-11905
166,11495,-16401,-11071
167,11328,-16386,-10181
168,11157,-16358,-9240
169,10985,-16316,-8252
170,10810,-16261,-7222
171,10633,-16193,-6155
172,10454,-16112,-5058
173,10273,-16018,-3934
